USERNAME,PASSWORD,RECIPIENT_ID,VENDOR_NAME,INC_ID,LM_VENDORID
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8082869,2970469ILTX472
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8049284,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8048282,2970179NHTW369
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8036462,2970508FLT1978
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:7970772,2970179NHTW369
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7941658,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7940009,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7914317,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:7900686,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7883537,2970469ILTX472
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:7881659,2970508FLTG470
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:7877533,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7868639,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7832055,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:7788869,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7675397,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7552296,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7493125,2970508FLT1978
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7493125,2970508FLT1978
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:7353449,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:7151869,2970469ILTX472
CIP_PERF1608,pmcng928,66457,THE BOYD GROUP (U.S.) INC,cc:6990884,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6865649,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6865649,2970469ILTX472
CIP_PERF1608,pmcng928,66457,GERBER COLLISION & GLASS,cc:6820018,2970508FLT1978
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:6649466,2970179NHTW369
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6639714,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6595699,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:6579863,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6525094,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:6436982,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:6291447,2970508FLTG470
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:6291447,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6264373,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:6249330,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:5951075,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:5586182,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:5335958,2970469ILTX472
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:5259257,2970508FLTG470
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:5122704,2970179NHTW369
CIP_PERF1661,pmcng928,551817,RIVERDALE AUTO BODY SHOP SCHERERVILLE,cc:4879369,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:4723877,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHEREVILLE,cc:4552523,2970469ILTX472
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:3917406,2970179NHTW369
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:3164783,2970469ILTX472
CIP_PERF1608,pmcng928,66457,GERBER COLLISION & GLASS,cc:3042621,2970508FLT1978
CIP_PERF1608,pmcng928,66457,GERBER COLLISION & GLASS,cc:3042621,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY INC,cc:2852017,2970508FLTG470
