USERNAME,PASSWORD,RECIPIENTID,CLAIMNUMBER
CIP_PERF1661,pmcng928,551817,030668355
CIP_PERF1661,pmcng928,551817,030253128
CIP_PERF1661,pmcng928,551817,030307839
CIP_PERF1661,pmcng928,551817,030916132
CIP_PERF1661,pmcng928,551817,030188862
CIP_PERF1661,pmcng928,551817,030407032
CIP_PERF1661,pmcng928,551817,030507022
CIP_PERF1661,pmcng928,551817,030169902
CIP_PERF1661,pmcng928,551817,030737539
CIP_PERF1661,pmcng928,551817,030889182
CIP_PERF1661,pmcng928,551817,027236788
CIP_PERF1661,pmcng928,551817,030988952
CIP_PERF1661,pmcng928,551817,030596787
CIP_PERF1661,pmcng928,551817,028787759
CIP_PERF1661,pmcng928,551817,026321158
CIP_PERF1660,pmcng928,573708,030043157
CIP_PERF1660,pmcng928,573708,030567765
CIP_PERF1660,pmcng928,573708,030686114
CIP_PERF1660,pmcng928,573708,030927707
CIP_PERF1660,pmcng928,573708,029986292
CIP_PERF1660,pmcng928,573708,029819522
CIP_PERF1660,pmcng928,573708,025052560
CIP_PERF1660,pmcng928,573708,030921517
CIP_PERF1660,pmcng928,573708,029108073
CIP_PERF1660,pmcng928,573708,030725019
CIP_PERF1660,pmcng928,573708,030921792
CIP_PERF1660,pmcng928,573708,030823443
CIP_PERF1660,pmcng928,573708,029330909
CIP_PERF1660,pmcng928,573708,029186293
CIP_PERF1660,pmcng928,573708,030988591
CIP_PERF1660,pmcng928,573708,030809882
CIP_PERF1660,pmcng928,573708,029068564
CIP_PERF1660,pmcng928,573708,030143517
CIP_PERF1660,pmcng928,573708,030622404
CIP_PERF1660,pmcng928,573708,030925874
CIP_PERF1660,pmcng928,573708,030733796
CIP_PERF1660,pmcng928,573708,030757485
CIP_PERF1660,pmcng928,573708,026367205
CIP_PERF1660,pmcng928,573708,030408560
CIP_PERF1660,pmcng928,573708,030884045
CIP_PERF1660,pmcng928,573708,027595453
CIP_PERF1660,pmcng928,573708,030557196
CIP_PERF1660,pmcng928,573708,030409638
CIP_PERF1660,pmcng928,573708,030944305
CIP_PERF1660,pmcng928,573708,030506762
CIP_PERF1660,pmcng928,573708,030893537
CIP_PERF1660,pmcng928,573708,030729827
CIP_PERF1660,pmcng928,573708,030965308
CIP_PERF1660,pmcng928,573708,030793107
CIP_PERF1660,pmcng928,573708,030913170
CIP_PERF1660,pmcng928,573708,030979925
CIP_PERF1660,pmcng928,573708,030903585
CIP_PERF1660,pmcng928,573708,030954462
CIP_PERF1660,pmcng928,573708,030851793
CIP_PERF1660,pmcng928,573708,030900090
CIP_PERF1660,pmcng928,573708,030738974
CIP_PERF1660,pmcng928,573708,029887072
CIP_PERF1660,pmcng928,573708,030795431
CIP_PERF1660,pmcng928,573708,030882435
CIP_PERF1660,pmcng928,573708,030715811
CIP_PERF1660,pmcng928,573708,030934496
CIP_PERF1660,pmcng928,573708,023820827
CIP_PERF1660,pmcng928,573708,027741554
CIP_PERF1660,pmcng928,573708,030823246
CIP_PERF1660,pmcng928,573708,030799532
CIP_PERF1660,pmcng928,573708,030922860
CIP_PERF1660,pmcng928,573708,030568330
CIP_PERF1660,pmcng928,573708,030793607
CIP_PERF1660,pmcng928,573708,030494282
CIP_PERF1660,pmcng928,573708,026889148
CIP_PERF1660,pmcng928,573708,030946158
CIP_PERF1608,pmcng928,66457,028467031
CIP_PERF1608,pmcng928,66457,030603746
CIP_PERF1608,pmcng928,66457,030712721
CIP_PERF1608,pmcng928,66457,030809031
CIP_PERF1608,pmcng928,66457,030937386
CIP_PERF1608,pmcng928,66457,030624259
CIP_PERF1608,pmcng928,66457,025013631
CIP_PERF1608,pmcng928,66457,029322332
CIP_PERF1608,pmcng928,66457,029363816
CIP_PERF1608,pmcng928,66457,027366170
CIP_PERF1608,pmcng928,66457,027956528
CIP_PERF1608,pmcng928,66457,028971288
CIP_PERF1608,pmcng928,66457,030944166
CIP_PERF1608,pmcng928,66457,030801205
CIP_PERF1608,pmcng928,66457,030967373
CIP_PERF1608,pmcng928,66457,023942755
CIP_PERF1608,pmcng928,66457,024951633
CIP_PERF1608,pmcng928,66457,029502317
CIP_PERF1608,pmcng928,66457,030371485
CIP_PERF1608,pmcng928,66457,029763124
CIP_PERF1608,pmcng928,66457,029377822
CIP_PERF1608,pmcng928,66457,030971753
CIP_PERF1608,pmcng928,66457,024567673
CIP_PERF1608,pmcng928,66457,030874508
CIP_PERF1608,pmcng928,66457,026826115
CIP_PERF1608,pmcng928,66457,030654840
CIP_PERF1608,pmcng928,66457,029650748
CIP_PERF1608,pmcng928,66457,030043280
CIP_PERF1608,pmcng928,66457,023825685
CIP_PERF1608,pmcng928,66457,024181348
CIP_PERF1608,pmcng928,66457,024611653
CIP_PERF1608,pmcng928,66457,030524253
CIP_PERF1608,pmcng928,66457,030646261
CIP_PERF1608,pmcng928,66457,029907279
CIP_PERF1608,pmcng928,66457,030954694
CIP_PERF1608,pmcng928,66457,030889476
CIP_PERF1608,pmcng928,66457,030955341
CIP_PERF1608,pmcng928,66457,030178483
CIP_PERF1608,pmcng928,66457,029201394
CIP_PERF1608,pmcng928,66457,030810250
CIP_PERF1608,pmcng928,66457,024694581
CIP_PERF1608,pmcng928,66457,028686466
CIP_PERF1608,pmcng928,66457,029110469
CIP_PERF1608,pmcng928,66457,030843328
CIP_PERF1608,pmcng928,66457,030468045
CIP_PERF1608,pmcng928,66457,030712016
CIP_PERF1608,pmcng928,66457,030945672
CIP_PERF1608,pmcng928,66457,028717637
CIP_PERF1608,pmcng928,66457,029819214
CIP_PERF1608,pmcng928,66457,030217460
CIP_PERF1608,pmcng928,66457,030691345
CIP_PERF1608,pmcng928,66457,029521258
CIP_PERF1608,pmcng928,66457,030590983
CIP_PERF1608,pmcng928,66457,030846654
CIP_PERF1608,pmcng928,66457,029404038
CIP_PERF1608,pmcng928,66457,030032502
CIP_PERF1608,pmcng928,66457,030190437
CIP_PERF1608,pmcng928,66457,030724262
CIP_PERF1608,pmcng928,66457,030861208
CIP_PERF1608,pmcng928,66457,030765547
CIP_PERF1608,pmcng928,66457,030189217
CIP_PERF1609,pmcng928,130506,026033575
CIP_PERF1609,pmcng928,130506,030887813
CIP_PERF1609,pmcng928,130506,030702010
CIP_PERF1609,pmcng928,130506,028074247
CIP_PERF1609,pmcng928,130506,028089130
CIP_PERF1609,pmcng928,130506,029485967
CIP_PERF1609,pmcng928,130506,030838106
CIP_PERF1609,pmcng928,130506,030729518
CIP_PERF1609,pmcng928,130506,030911654
CIP_PERF1609,pmcng928,130506,030413963
CIP_PERF1609,pmcng928,130506,030408959
CIP_PERF1609,pmcng928,130506,030595078
CIP_PERF1609,pmcng928,130506,030972956
CIP_PERF1609,pmcng928,130506,030778012
CIP_PERF1609,pmcng928,130506,030327948
CIP_PERF1609,pmcng928,130506,030178684
CIP_PERF1609,pmcng928,130506,028992440
CIP_PERF1609,pmcng928,130506,024049586
CIP_PERF1609,pmcng928,130506,030007869
CIP_PERF1609,pmcng928,130506,030968188
CIP_PERF1609,pmcng928,130506,030934595
CIP_PERF1609,pmcng928,130506,028825862
CIP_PERF1609,pmcng928,130506,025463226
CIP_PERF1609,pmcng928,130506,025600564
CIP_PERF1609,pmcng928,130506,030429707
CIP_PERF1609,pmcng928,130506,030980831
CIP_PERF1609,pmcng928,130506,030609330
CIP_PERF1609,pmcng928,130506,030979915
CIP_PERF1609,pmcng928,130506,030934688
CIP_PERF1609,pmcng928,130506,030934869
CIP_PERF1609,pmcng928,130506,027482931
